Repository Name,Date Of Event,Doc Class Name,Total Msgs,Total Size In MB,Exported Date,Email Sent Date
misc.mailouts.schwab,2023-06-30,MAILINGLIST,4002230,5811.56,2023-08-02 22:15,2023-06-30 - 2023-06-30
rrrpsclepsd.sv.schwab,2023-06-30,=EMAIL=,1,0.00,2023-08-02 22:15,2023-06-30 - 2023-06-30
schwab.dom.repository,2023-06-30,=EMAIL=,1982550,56717.80,2023-08-02 22:15,2023-06-30 - 2023-06-30
sps.external.email.sv.schwab,2023-06-30,=EMAIL=,1,0.00,2023-08-02 22:15,2023-06-30 - 2023-06-30
carlsbad.branch.h.sv.schwab,2023-06-29,=EMAIL=,5,0.00,2023-08-02 22:16,2023-06-29 - 2023-06-29
carlsbad.branch.h.sv.schwab,2023-06-29,MAILINGLIST,1,0.00,2023-08-02 22:16,2023-06-29 - 2023-06-29
fax.advice.schwab,2023-06-29,=EMAIL=,141,0.07,2023-08-02 22:16,2023-06-29 - 2023-06-29
fax.advice.schwab,2023-06-29,MAILINGLIST,18,0.01,2023-08-02 22:16,2023-06-29 - 2023-06-29
fax.branch.schwab,2023-06-29,=EMAIL=,559,0.29,2023-08-02 22:16,2023-06-29 - 2023-06-29
fax.branch.schwab,2023-06-29,MAILINGLIST,133,0.06,2023-08-02 22:16,2023-06-29 - 2023-06-29
